2008-12-01,Albury,22.9
2008-12-02,Albury,25.1
2008-12-03,Albury,25.7
2008-12-04,Albury,28.0
2008-12-05,Albury,32.3
2008-12-06,Albury,29.7
2008-12-07,Albury,25.0
2008-12-08,Albury,26.7
2008-12-09,Albury,31.9
2008-12-10,Albury,30.1
2008-12-11,Albury,30.4
2008-12-12,Albury,21.7
2008-12-13,Albury,18.6
2008-12-14,Albury,21.0
2008-12-15,Albury,24.6
2008-12-16,Albury,27.7
2008-12-17,Albury,20.9
2008-12-18,Albury,22.9
2008-12-19,Albury,22.5
2008-12-20,Albury,25.6
2008-12-21,Albury,29.3
2008-12-22,Albury,33.0
2008-12-23,Albury,31.8
2008-12-24,Albury,30.9
2008-12-25,Albury,32.4
2008-12-26,Albury,33.9
2008-12-27,Albury,33.0
2008-12-28,Albury,32.7
2008-12-29,Albury,27.2
2008-12-30,Albury,24.2
2008-12-31,Albury,24.4
2009-01-01,Albury,26.5
2009-01-02,Albury,23.9
2009-01-03,Albury,28.8
2009-01-04,Albury,34.6
2009-01-05,Albury,35.8
2009-01-06,Albury,37.9
2009-01-07,Albury,38.9
2009-01-08,Albury,28.3
2009-01-09,Albury,28.4
2009-01-10,Albury,30.8
2009-01-11,Albury,32.0
2009-01-12,Albury,34.7
2009-01-13,Albury,37.7
2009-01-14,Albury,43.0
2009-01-15,Albury,32.7
2009-01-16,Albury,26.7
2009-01-17,Albury,28.4
2009-01-18,Albury,32.2
2009-01-19,Albury,36.6
2009-01-20,Albury,39.9
2009-01-21,Albury,38.1
2009-01-22,Albury,34.0
2009-01-23,Albury,35.2
2009-01-24,Albury,30.6
2009-01-25,Albury,34.3
2009-01-26,Albury,38.4
2009-01-27,Albury,38.2
2009-01-28,Albury,40.7
2009-01-29,Albury,41.5
2009-01-30,Albury,42.9
2009-01-31,Albury,42.7
2009-02-01,Albury,43.1
2009-02-02,Albury,38.3
2009-02-03,Albury,37.7
2009-02-04,Albury,36.9
2009-02-05,Albury,41.2
2009-02-06,Albury,42.2
2009-02-07,Albury,44.8
2009-02-08,Albury,40.2
2009-02-09,Albury,31.2
2009-02-10,Albury,27.3
2009-02-11,Albury,26.7
2009-02-12,Albury,21.6
2009-02-13,Albury,29.0
2009-02-14,Albury,29.2
2009-02-15,Albury,31.3
2009-02-16,Albury,31.1
2009-02-17,Albury,28.8
2009-02-18,Albury,32.0
2009-02-19,Albury,34.0
2009-02-20,Albury,29.1
2009-02-21,Albury,31.7
2009-02-22,Albury,33.2
2009-02-23,Albury,34.0
2009-02-24,Albury,29.6
2009-02-25,Albury,31.9
2009-02-26,Albury,32.7
2009-02-27,Albury,32.6
2009-02-28,Albury,34.5
2009-03-01,Albury,30.3
2009-03-02,Albury,31.9
2009-03-03,Albury,31.1
2009-03-04,Albury,22.1
2009-03-05,Albury,22.0
2009-03-06,Albury,24.0
2009-03-07,Albury,27.9
2009-03-08,Albury,30.2
2009-03-09,Albury,31.8
2009-03-10,Albury,32.0
2009-03-11,Albury,30.5
2009-03-12,Albury,25.7
2009-03-13,Albury,25.8
2009-03-14,Albury,27.0
2009-03-15,Albury,19.7
2009-03-16,Albury,21.9
2009-03-17,Albury,25.3
2009-03-18,Albury,28.0
2009-03-19,Albury,30.1
2009-03-20,Albury,33.5
2009-03-21,Albury,33.6
2009-03-22,Albury,30.0
2009-03-23,Albury,31.6
2009-03-24,Albury,31.9
2009-03-25,Albury,22.3
2009-03-26,Albury,29.8
2009-03-27,Albury,27.6
2009-03-28,Albury,28.9
2009-03-29,Albury,31.2
2009-03-30,Albury,30.4
2009-03-31,Albury,29.9
2009-04-01,Albury,30.6
2009-04-02,Albury,32.1
2009-04-03,Albury,28.1
2009-04-04,Albury,21.4
2009-04-05,Albury,21.7
2009-04-06,Albury,21.4
2009-04-07,Albury,22.5
2009-04-08,Albury,24.0
2009-04-09,Albury,25.7
2009-04-10,Albury,26.7
2009-04-11,Albury,24.9
2009-04-12,Albury,24.2
2009-04-13,Albury,25.4
2009-04-14,Albury,25.0
2009-04-15,Albury,21.9
2009-04-16,Albury,20.0
2009-04-17,Albury,21.6
2009-04-18,Albury,23.4
2009-04-19,Albury,23.9
2009-04-20,Albury,22.0
2009-04-21,Albury,21.4
2009-04-22,Albury,22.7
2009-04-23,Albury,22.9
2009-04-24,Albury,16.2
2009-04-25,Albury,15.8
2009-04-26,Albury,12.9
2009-04-27,Albury,11.5
2009-04-28,Albury,14.5
2009-04-29,Albury,12.2
2009-04-30,Albury,16.5
2009-05-01,Albury,17.0
2009-05-02,Albury,19.2
2009-05-03,Albury,18.9
2009-05-04,Albury,19.1
2009-05-05,Albury,18.8
2009-05-06,Albury,19.3
2009-05-07,Albury,18.4
2009-05-08,Albury,19.0
2009-05-09,Albury,20.5
2009-05-10,Albury,19.5
2009-05-11,Albury,17.7
2009-05-12,Albury,18.5
2009-05-13,Albury,15.1
2009-05-14,Albury,16.3
2009-05-15,Albury,16.6
2009-05-16,Albury,16.4
2009-05-17,Albury,15.6
2009-05-18,Albury,19.7
2009-05-19,Albury,19.1
